FUNCTION DEPLOYMENT TIMELINE
============================

Report generated: 2025-07-18 13:26:30

Total deployment events: 246
Number of node-function combinations: 116

Event Type Summary:
  Deployment events: 3
  Replica events: 164
  Network events: 79

CHRONOLOGICAL TIMELINE
======================

t=   0.0s | deployment | global               | resnet50-inference        | deploy resnet50-inference
  Node list: nuc_10 → coral_11, nuc_10 → coral_6, nuc_10 → coral_9, nuc_10 → nano_12, nuc_10 → nano_15, nuc_10 → nano_18, nuc_10 → nano_21, nuc_10 → nano_31, nuc_10 → nano_37, nuc_10 → nano_43, nuc_10 → nano_46, nuc_10 → nano_48, nuc_10 → nano_49, nuc_10 → nano_50, nuc_10 → nano_52, nuc_10 → nx_4, nuc_10 → rockpi_16, nuc_10 → rockpi_18, nuc_10 → rockpi_5, nuc_10 → rpi3_3, nuc_10 → rpi3_4, nuc_10 → rpi3_5, nuc_10 → rpi4_0, nuc_10 → rpi4_1, nuc_10 → rpi4_12, nuc_10 → rpi4_13, nuc_10 → rpi4_2, nuc_10 → rpi4_3, nuc_10 → rpi4_4, nuc_10 → rpi4_5, nuc_10 → tx2_0, nuc_10 → tx2_1, nuc_10 → tx2_11, nuc_10 → tx2_13, nuc_10 → tx2_19, nuc_10 → tx2_4, nuc_10 → tx2_5, registry → coral_11, registry → coral_6, registry → coral_9, registry → nano_12, registry → nano_15, registry → nano_18, registry → nano_21, registry → nano_31, registry → nano_37, registry → nano_43, registry → nano_46, registry → nano_48, registry → nano_49, registry → nano_50, registry → nano_52, registry → nx_4, registry → rockpi_16, registry → rockpi_18, registry → rockpi_5, registry → rpi3_3, registry → rpi3_4, registry → rpi3_5, registry → rpi4_0, registry → rpi4_1, registry → rpi4_12, registry → rpi4_13, registry → rpi4_2, registry → rpi4_3, registry → rpi4_4, registry → rpi4_5, registry → tx2_0, registry → tx2_1, registry → tx2_11, registry → tx2_13, registry → tx2_19, registry → tx2_4, registry → tx2_5

SCALING ANALYSIS
================

Functions with scaling events: 3
  resnet50-inference: 80 replica events
    t=   0.0s - deploy replica of resnet50-inference on tx2_11
    t=   5.0s - startup replica of resnet50-inference on tx2_11
    t=   6.0s - setup replica of resnet50-inference on tx2_11
    t=   8.0s - finish replica of resnet50-inference on tx2_11
    t=  12.0s - deploy replica of resnet50-inference on nano_12
    t=  17.0s - startup replica of resnet50-inference on nano_12
    t=  18.0s - setup replica of resnet50-inference on nano_12
    t=  19.0s - finish replica of resnet50-inference on nano_12
    t=  20.0s - deploy replica of resnet50-inference on nano_21
    t=  25.0s - startup replica of resnet50-inference on nano_21
    t=  26.0s - setup replica of resnet50-inference on nano_21
    t=  27.0s - finish replica of resnet50-inference on nano_21
    t=  28.0s - deploy replica of resnet50-inference on nano_46
    t=  33.0s - startup replica of resnet50-inference on nano_46
    t=  34.0s - setup replica of resnet50-inference on nano_46
    t=  35.0s - finish replica of resnet50-inference on nano_46
    t=  36.0s - deploy replica of resnet50-inference on tx2_0
    t=  41.0s - startup replica of resnet50-inference on tx2_0
    t=  42.0s - setup replica of resnet50-inference on tx2_0
    t=  43.0s - finish replica of resnet50-inference on tx2_0
    t=  44.0s - deploy replica of resnet50-inference on tx2_1
    t=  49.0s - startup replica of resnet50-inference on tx2_1
    t=  50.0s - setup replica of resnet50-inference on tx2_1
    t=  51.0s - finish replica of resnet50-inference on tx2_1
    t=  52.0s - deploy replica of resnet50-inference on nx_4
    t=  57.0s - startup replica of resnet50-inference on nx_4
    t=  58.0s - setup replica of resnet50-inference on nx_4
    t=  59.0s - finish replica of resnet50-inference on nx_4
    t=  60.0s - deploy replica of resnet50-inference on tx2_5
    t=  65.0s - startup replica of resnet50-inference on tx2_5
    t=  66.0s - setup replica of resnet50-inference on tx2_5
    t=  67.0s - finish replica of resnet50-inference on tx2_5
    t=  68.0s - deploy replica of resnet50-inference on nano_18
    t=  73.0s - startup replica of resnet50-inference on nano_18
    t=  74.0s - setup replica of resnet50-inference on nano_18
    t=  75.0s - finish replica of resnet50-inference on nano_18
    t=  76.0s - deploy replica of resnet50-inference on nano_43
    t=  81.0s - startup replica of resnet50-inference on nano_43
    t=  82.0s - setup replica of resnet50-inference on nano_43
    t=  83.0s - finish replica of resnet50-inference on nano_43
    t=  84.0s - deploy replica of resnet50-inference on nano_48
    t=  89.0s - startup replica of resnet50-inference on nano_48
    t=  90.0s - setup replica of resnet50-inference on nano_48
    t=  91.0s - finish replica of resnet50-inference on nano_48
    t=  92.0s - deploy replica of resnet50-inference on nano_49
    t=  97.0s - startup replica of resnet50-inference on nano_49
    t=  98.0s - setup replica of resnet50-inference on nano_49
    t=  99.0s - finish replica of resnet50-inference on nano_49
    t= 100.0s - deploy replica of resnet50-inference on tx2_13
    t= 105.0s - startup replica of resnet50-inference on tx2_13
    t= 106.0s - setup replica of resnet50-inference on tx2_13
    t= 107.0s - finish replica of resnet50-inference on tx2_13
    t= 108.0s - deploy replica of resnet50-inference on tx2_19
    t= 113.0s - startup replica of resnet50-inference on tx2_19
    t= 114.0s - setup replica of resnet50-inference on tx2_19
    t= 115.0s - finish replica of resnet50-inference on tx2_19
    t= 116.0s - deploy replica of resnet50-inference on nano_31
    t= 121.0s - startup replica of resnet50-inference on nano_31
    t= 122.0s - setup replica of resnet50-inference on nano_31
    t= 123.0s - finish replica of resnet50-inference on nano_31
    t= 124.0s - deploy replica of resnet50-inference on nano_37
    t= 129.0s - startup replica of resnet50-inference on nano_37
    t= 130.0s - setup replica of resnet50-inference on nano_37
    t= 131.0s - finish replica of resnet50-inference on nano_37
    t= 132.0s - deploy replica of resnet50-inference on nano_50
    t= 137.0s - startup replica of resnet50-inference on nano_50
    t= 138.0s - setup replica of resnet50-inference on nano_50
    t= 139.0s - finish replica of resnet50-inference on nano_50
    t= 140.0s - deploy replica of resnet50-inference on nano_52
    t= 145.0s - startup replica of resnet50-inference on nano_52
    t= 146.0s - setup replica of resnet50-inference on nano_52
    t= 147.0s - finish replica of resnet50-inference on nano_52
    t= 148.0s - deploy replica of resnet50-inference on tx2_4
    t= 153.0s - startup replica of resnet50-inference on tx2_4
    t= 154.0s - setup replica of resnet50-inference on tx2_4
    t= 155.0s - finish replica of resnet50-inference on tx2_4
    t= 156.0s - deploy replica of resnet50-inference on nano_15
    t= 161.0s - startup replica of resnet50-inference on nano_15
    t= 162.0s - setup replica of resnet50-inference on nano_15
    t= 163.0s - finish replica of resnet50-inference on nano_15

  resnet50-preprocessing: 4 replica events
    t=   2.0s - deploy replica of resnet50-preprocessing on rockpi_18
    t=   9.0s - startup replica of resnet50-preprocessing on rockpi_18
    t=  10.0s - setup replica of resnet50-preprocessing on rockpi_18
    t=  11.0s - finish replica of resnet50-preprocessing on rockpi_18

  speech-inference: 80 replica events
    t=   1.0s - deploy replica of speech-inference on rockpi_18
    t=   3.0s - startup replica of speech-inference on rockpi_18
    t=   4.0s - setup replica of speech-inference on rockpi_18
    t=   7.0s - finish replica of speech-inference on rockpi_18
    t=  13.0s - deploy replica of speech-inference on rpi4_0
    t=  14.0s - startup replica of speech-inference on rpi4_0
    t=  15.0s - setup replica of speech-inference on rpi4_0
    t=  16.0s - finish replica of speech-inference on rpi4_0
    t=  21.0s - deploy replica of speech-inference on rpi4_1
    t=  22.0s - startup replica of speech-inference on rpi4_1
    t=  23.0s - setup replica of speech-inference on rpi4_1
    t=  24.0s - finish replica of speech-inference on rpi4_1
    t=  29.0s - deploy replica of speech-inference on coral_9
    t=  30.0s - startup replica of speech-inference on coral_9
    t=  31.0s - setup replica of speech-inference on coral_9
    t=  32.0s - finish replica of speech-inference on coral_9
    t=  37.0s - deploy replica of speech-inference on coral_11
    t=  38.0s - startup replica of speech-inference on coral_11
    t=  39.0s - setup replica of speech-inference on coral_11
    t=  40.0s - finish replica of speech-inference on coral_11
    t=  45.0s - deploy replica of speech-inference on rpi4_4
    t=  46.0s - startup replica of speech-inference on rpi4_4
    t=  47.0s - setup replica of speech-inference on rpi4_4
    t=  48.0s - finish replica of speech-inference on rpi4_4
    t=  53.0s - deploy replica of speech-inference on rpi4_5
    t=  54.0s - startup replica of speech-inference on rpi4_5
    t=  55.0s - setup replica of speech-inference on rpi4_5
    t=  56.0s - finish replica of speech-inference on rpi4_5
    t=  61.0s - deploy replica of speech-inference on rpi4_12
    t=  62.0s - startup replica of speech-inference on rpi4_12
    t=  63.0s - setup replica of speech-inference on rpi4_12
    t=  64.0s - finish replica of speech-inference on rpi4_12
    t=  69.0s - deploy replica of speech-inference on rpi4_13
    t=  70.0s - startup replica of speech-inference on rpi4_13
    t=  71.0s - setup replica of speech-inference on rpi4_13
    t=  72.0s - finish replica of speech-inference on rpi4_13
    t=  77.0s - deploy replica of speech-inference on nx_4
    t=  78.0s - startup replica of speech-inference on nx_4
    t=  79.0s - setup replica of speech-inference on nx_4
    t=  80.0s - finish replica of speech-inference on nx_4
    t=  85.0s - deploy replica of speech-inference on coral_6
    t=  86.0s - startup replica of speech-inference on coral_6
    t=  87.0s - setup replica of speech-inference on coral_6
    t=  88.0s - finish replica of speech-inference on coral_6
    t=  93.0s - deploy replica of speech-inference on rockpi_16
    t=  94.0s - startup replica of speech-inference on rockpi_16
    t=  95.0s - setup replica of speech-inference on rockpi_16
    t=  96.0s - finish replica of speech-inference on rockpi_16
    t= 101.0s - deploy replica of speech-inference on rockpi_16
    t= 102.0s - startup replica of speech-inference on rockpi_16
    t= 103.0s - setup replica of speech-inference on rockpi_16
    t= 104.0s - finish replica of speech-inference on rockpi_16
    t= 109.0s - deploy replica of speech-inference on rockpi_5
    t= 110.0s - startup replica of speech-inference on rockpi_5
    t= 111.0s - setup replica of speech-inference on rockpi_5
    t= 112.0s - finish replica of speech-inference on rockpi_5
    t= 117.0s - deploy replica of speech-inference on rockpi_5
    t= 118.0s - startup replica of speech-inference on rockpi_5
    t= 119.0s - setup replica of speech-inference on rockpi_5
    t= 120.0s - finish replica of speech-inference on rockpi_5
    t= 125.0s - deploy replica of speech-inference on rpi3_3
    t= 126.0s - startup replica of speech-inference on rpi3_3
    t= 127.0s - setup replica of speech-inference on rpi3_3
    t= 128.0s - finish replica of speech-inference on rpi3_3
    t= 133.0s - deploy replica of speech-inference on rpi3_4
    t= 134.0s - startup replica of speech-inference on rpi3_4
    t= 135.0s - setup replica of speech-inference on rpi3_4
    t= 136.0s - finish replica of speech-inference on rpi3_4
    t= 141.0s - deploy replica of speech-inference on rpi3_5
    t= 142.0s - startup replica of speech-inference on rpi3_5
    t= 143.0s - setup replica of speech-inference on rpi3_5
    t= 144.0s - finish replica of speech-inference on rpi3_5
    t= 149.0s - deploy replica of speech-inference on rpi4_2
    t= 150.0s - startup replica of speech-inference on rpi4_2
    t= 151.0s - setup replica of speech-inference on rpi4_2
    t= 152.0s - finish replica of speech-inference on rpi4_2
    t= 157.0s - deploy replica of speech-inference on rpi4_3
    t= 158.0s - startup replica of speech-inference on rpi4_3
    t= 159.0s - setup replica of speech-inference on rpi4_3
    t= 160.0s - finish replica of speech-inference on rpi4_3

